,pick_lat,pick_lon,drop_lat,drop_lon,distance
0,6.86252,79.8993,6.9033,79.8783,7923
1,6.88589,79.8984,6.91373,79.8923,5219
2,6.90839,79.8651,6.93669,79.9146,9183
3,6.9257,79.8895,6.92748,79.8971,1528
4,6.874410000000001,79.8615,6.84478,79.929,9983
5,7.13402,79.8969,6.91865,79.8649,31260
6,6.843710000000001,79.9051,6.850689999999999,79.8624,7607
7,6.9076,79.9524,6.906339999999999,79.9042,7766
8,7.267060000000001,80.6064,7.27422,80.6124,1476
9,6.851369999999999,79.9537,6.84779,79.9274,3611
10,7.00355,79.8819,7.132789999999999,79.8868,20367
11,6.908710000000001,79.8978,6.91368,79.8572,5128
12,6.822780000000001,79.9527,6.87241,79.8835,11347
13,7.12626,79.9817,7.1229,79.9687,1467
14,6.85268,79.8631,6.8656,79.86399999999999,2817
15,6.9713199999999995,79.9606,6.93615,79.847,15779
16,7.1142199999999995,80.0033,7.10365,80.0485,8592
17,7.2986,80.6266,7.29507,80.6375,1804
18,6.795889999999999,79.8916,6.88183,79.8666,13615
19,6.80125,79.9007,6.82305,79.8952,3677
20,6.9210899999999995,79.8547,6.9412,79.8588,4453
21,6.79325,79.9257,6.925260000000001,79.852,19600
22,6.91718,79.8656,6.9064,79.8793,2282
23,6.7985,79.9269,6.799519999999999,79.8884,5237
24,6.91352,79.9748,6.90981,79.8954,11816
25,6.05858,80.2003,6.05566,80.181,3504
26,6.91029,79.8543,6.91185,79.8556,1011
27,6.886610000000001,79.9321,6.87383,79.9263,2811
28,6.93268,79.8678,6.8876,79.8729,6825
29,7.15717,79.8726,7.185460000000001,79.8996,5060
30,6.91657,79.8593,6.892580000000001,79.8554,4818
31,7.275860000000001,80.6136,7.2881,80.6319,3563
32,6.903560000000001,79.9164,6.91787,79.8631,6765
33,6.977519999999999,79.9293,6.88842,79.9357,12957
34,7.486280000000001,80.6206,7.479839999999999,80.6233,902
35,7.293130000000001,80.6367,7.28499,80.6438,1967
36,6.863519999999999,79.955,6.846710000000001,79.9498,2525
37,6.9605,79.9088,6.89588,79.9023,11675
38,6.875089999999999,79.8658,6.9321399999999995,79.8786,8131
39,6.86728,79.9204,6.874460000000001,79.8969,3251
40,6.80214,79.9093,6.89797,79.8931,15265
41,6.849989999999999,79.874,6.84819,79.867,1032
42,6.90475,79.8787,6.91829,79.8827,2211
43,6.8782,79.8685,6.884530000000001,79.8675,890
44,6.88709,79.8837,6.9081399999999995,79.8771,2738
45,6.9088199999999995,79.8489,6.89405,79.854,3545
46,6.87104,79.8829,6.86615,79.8852,898
47,6.859380000000001,79.8633,6.85933,79.8632,12
48,7.30175,80.6357,7.27375,80.6775,8218
49,6.8419300000000005,79.9077,6.88589,79.8871,6463
50,6.91795,79.8583,6.932989999999999,79.8443,2734
51,7.48995,80.3639,7.49838,80.3715,1327
52,6.586310000000001,79.9598,6.59963,79.9544,1938
53,6.89894,79.9345,6.91799,79.8476,12907
54,7.302810000000001,80.6461,7.2928,80.6377,3799
55,6.90527,79.929,6.933560000000001,79.8562,11041
56,6.83605,79.9187,6.82994,79.9114,1276
57,6.94108,79.8784,6.91573,79.9292,8491
58,6.929530000000001,79.8691,6.940760000000001,79.9054,4836
59,6.877669999999999,79.9203,6.89411,79.8667,8586
60,6.911919999999999,79.9785,6.91188,79.9787,5
61,7.28723,80.6316,7.29661,80.6366,1749
62,7.09553,79.89399999999999,7.095610000000001,79.89399999999999,9
63,7.074039999999999,79.8923,7.07423,79.8922,1101
64,6.935980000000001,79.8558,6.93377,79.86,733
65,6.9193,79.8571,6.9116800000000005,79.8538,1549
66,6.85314,79.872,6.852860000000001,79.8659,862
67,7.296860000000001,80.6366,7.296360000000001,80.6377,495
68,6.93225,79.8714,6.9445,79.8806,2049
